Class,"Normal","Suspeito"
ACC,0.11864,0.11864
AGF,0.2518,0.07761
AGM,0.15997,0.29306
AM,104,-104
AUC,0.53153,0.53153
AUCI,Poor,Poor
AUPR,0.53153,0.53153
BCD,0.44068,0.44068
BM,0.06306,0.06306
CEN,0.16059,0.16059
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.88136,0.88136
F0.5,0.07761,0.2518
F1,0.11864,0.11864
F2,0.2518,0.07761
FDR,0.93694,0.0
FN,0,104
FNR,0.0,0.93694
FOR,0.0,0.93694
FP,104,0
FPR,0.93694,0.0
G,0.25112,0.25112
GI,0.06306,0.06306
GM,0.25112,0.25112
IBA,0.12215,0.00398
ICSI,0.06306,0.06306
IS,0.08823,0.08823
J,0.06306,0.06306
LS,1.06306,1.06306
MCC,0.06306,0.06306
MCCI,Negligible,Negligible
MCEN,0.08805,0.08805
MK,0.06306,0.06306
N,111,7
NLR,0.0,0.93694
NLRI,Good,Negligible
NPV,1.0,0.06306
OC,1.0,1.0
OOC,0.25112,0.25112
OP,-0.76271,-0.76271
P,7,111
PLR,1.06731,None
PLRI,Poor,None
POP,118,118
PPV,0.06306,1.0
PRE,0.05932,0.94068
Q,None,None
QI,None,None
RACC,0.0558,0.0558
RACCU,0.25,0.25
TN,7,7
TNR,0.06306,1.0
TON,7,111
TOP,111,7
TP,7,7
TPR,1.0,0.06306
Y,0.06306,0.06306
dInd,0.93694,0.93694
sInd,0.33749,0.33749
