Class,"Normal","Suspeito"
ACC,0.77483,0.77483
AGF,0.0,0.0
AGM,0.0,0
AM,-228,228
AUC,0.42925,0.42925
AUCI,Poor,Poor
AUPR,0.87339,0.0
BCD,0.01512,0.01512
BM,-0.14149,-0.14149
CEN,0.5031,0.98695
DOR,None,0.0
DP,None,None
DPI,None,None
ERR,0.22517,0.22517
F0.5,0.88215,0.0
F1,0.87313,0.0
F2,0.8643,0.0
FDR,0.11174,1.0
FN,963,735
FNR,0.14149,1.0
FOR,1.0,0.11174
FP,735,963
FPR,1.0,0.14149
G,0.87326,0.0
GI,-0.14149,-0.14149
GM,0.0,0.0
IBA,0.0,0.0
ICSI,0.74677,-1.0
IS,-0.02299,None
J,0.77483,0.0
LS,0.98419,0.0
MCC,-0.12574,-0.12574
MCCI,Negligible,Negligible
MCEN,0.70655,0.98695
MK,-0.11174,-0.11174
N,735,6806
NLR,None,1.16481
NLRI,None,Negligible
NPV,0.0,0.88826
OC,0.88826,0.0
OOC,0.87326,0.0
OP,-0.22517,-0.22517
P,6806,735
PLR,0.85851,0.0
PLRI,Negligible,Negligible
POP,7541,7541
PPV,0.88826,0.0
PRE,0.90253,0.09747
Q,-1.0,-1.0
QI,Negligible,Negligible
RACC,0.78728,0.01245
RACCU,0.78751,0.01268
TN,0,5843
TNR,0.0,0.85851
TON,963,6578
TOP,6578,963
TP,5843,0
TPR,0.85851,0.0
Y,-0.14149,-0.14149
dInd,1.00996,1.00996
sInd,0.28585,0.28585
