Class,"Normal","Suspeito"
ACC,0.99952,0.99952
AGF,0.99825,0.99883
AGM,0.99888,0.99928
AM,-1,1
AUC,0.99894,0.99894
AUCI,Excellent,Excellent
AUPR,0.99973,0.99735
BCD,8e-05,8e-05
BM,0.99788,0.99788
CEN,0.0034,0.0251
DOR,1592735.0,1592735.0
DP,3.41942,3.41942
DPI,Good,Good
ERR,0.00048,0.00048
F0.5,0.99979,0.99682
F1,0.99973,0.99735
F2,0.99968,0.99788
FDR,0.00018,0.00353
FN,2,1
FNR,0.00035,0.00177
FOR,0.00353,0.00018
FP,1,2
FPR,0.00177,0.00035
G,0.99973,0.99735
GI,0.99788,0.99788
GM,0.99894,0.99894
IBA,0.99929,0.99647
ICSI,0.99947,0.99471
IS,0.13771,3.44969
J,0.99947,0.99472
LS,1.10016,10.92599
MCC,0.99709,0.99709
MCCI,Very Strong,Very Strong
MCEN,0.00627,0.04481
MK,0.9963,0.9963
N,566,5640
NLR,0.00036,0.00177
NLRI,Good,Good
NPV,0.99647,0.99982
OC,0.99982,0.99823
OOC,0.99973,0.99735
OP,0.99881,0.99881
P,5640,566
PLR,565.79929,2815.01767
PLRI,Good,Good
POP,6206,6206
PPV,0.99982,0.99647
PRE,0.9088,0.0912
Q,1.0,1.0
QI,Strong,Strong
RACC,0.82577,0.00833
RACCU,0.82577,0.00833
TN,565,5638
TNR,0.99823,0.99965
TON,567,5639
TOP,5639,567
TP,5638,565
TPR,0.99965,0.99823
Y,0.99788,0.99788
dInd,0.0018,0.0018
sInd,0.99873,0.99873
