Class,"Normal","Suspeito"
ACC,0.5,0.5
AGF,0.63246,0.31623
AGM,0.31766,0.57732
AM,5,-5
AUC,0.58333,0.58333
AUCI,Poor,Poor
AUPR,0.72222,0.58333
BCD,0.25,0.25
BM,0.16667,0.16667
CEN,0.5302,0.34673
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.5,0.5
F0.5,0.5,0.5
F1,0.61538,0.28571
F2,0.8,0.2
FDR,0.55556,0.0
FN,0,5
FNR,0.0,0.83333
FOR,0.0,0.55556
FP,5,0
FPR,0.83333,0.0
G,0.66667,0.40825
GI,0.16667,0.16667
GM,0.40825,0.40825
IBA,0.30556,0.02778
ICSI,0.44444,0.16667
IS,0.152,0.73697
J,0.44444,0.16667
LS,1.11111,1.66667
MCC,0.27217,0.27217
MCCI,Negligible,Negligible
MCEN,0.47111,0.2192
MK,0.44444,0.44444
N,6,4
NLR,0.0,0.83333
NLRI,Good,Negligible
NPV,1.0,0.44444
OC,1.0,1.0
OOC,0.66667,0.40825
OP,-0.21429,-0.21429
P,4,6
PLR,1.2,None
PLRI,Poor,None
POP,10,10
PPV,0.44444,1.0
PRE,0.4,0.6
Q,None,None
QI,None,None
RACC,0.36,0.06
RACCU,0.4225,0.1225
TN,1,4
TNR,0.16667,1.0
TON,1,9
TOP,9,1
TP,4,1
TPR,1.0,0.16667
Y,0.16667,0.16667
dInd,0.83333,0.83333
sInd,0.41074,0.41074
