Class,"Normal","Suspeito"
ACC,0.99581,0.99581
AGF,0.99431,0.99732
AGM,0.99665,0.99497
AM,-3,3
AUC,0.99581,0.99581
AUCI,Excellent,Excellent
AUPR,0.9958,0.99584
BCD,0.00126,0.00126
BM,0.99162,0.99162
CEN,0.03623,0.03598
DOR,88356.0,88356.0
DP,2.727,2.727
DPI,Fair,Fair
ERR,0.00419,0.00419
F0.5,0.9973,0.99434
F1,0.99579,0.99583
F2,0.99429,0.99733
FDR,0.00169,0.00666
FN,4,1
FNR,0.00671,0.00167
FOR,0.00666,0.00169
FP,1,4
FPR,0.00167,0.00671
G,0.9958,0.99583
GI,0.99162,0.99162
GM,0.9958,0.9958
IBA,0.98663,0.99662
ICSI,0.9916,0.99167
IS,0.99998,0.98795
J,0.99162,0.99169
LS,1.99998,1.98337
MCC,0.99164,0.99164
MCCI,Very Strong,Very Strong
MCEN,0.06383,0.0634
MK,0.99166,0.99166
N,598,596
NLR,0.00672,0.00168
NLRI,Good,Good
NPV,0.99334,0.99831
OC,0.99831,0.99833
OOC,0.9958,0.99583
OP,0.99328,0.99328
P,596,598
PLR,593.98658,148.75084
PLRI,Good,Good
POP,1194,1194
PPV,0.99831,0.99334
PRE,0.49916,0.50084
Q,0.99998,0.99998
QI,Strong,Strong
RACC,0.24791,0.2521
RACCU,0.24791,0.2521
TN,597,592
TNR,0.99833,0.99329
TON,601,593
TOP,593,601
TP,592,597
TPR,0.99329,0.99833
Y,0.99162,0.99162
dInd,0.00692,0.00692
sInd,0.99511,0.99511
