Class,"Normal","Suspeito"
ACC,0.99376,0.99376
AGF,0.99206,0.99547
AGM,0.99471,0.99278
AM,-39,39
AUC,0.99375,0.99375
AUCI,Excellent,Excellent
AUPR,0.99372,0.99382
BCD,0.00143,0.00143
BM,0.98749,0.98749
CEN,0.0513,0.0506
DOR,32138.60519,32138.60519
DP,2.48485,2.48485
DPI,Fair,Fair
ERR,0.00624,0.00624
F0.5,0.99543,0.99212
F1,0.99371,0.99381
F2,0.99199,0.99551
FDR,0.00341,0.009
FN,62,23
FNR,0.00915,0.00336
FOR,0.009,0.00341
FP,23,62
FPR,0.00336,0.00915
G,0.99371,0.99382
GI,0.98749,0.98749
GM,0.99374,0.99374
IBA,0.9818,0.99324
ICSI,0.98743,0.98764
IS,1.00303,0.97904
J,0.9875,0.9877
LS,2.0042,1.97115
MCC,0.98754,0.98754
MCCI,Very Strong,Very Strong
MCEN,0.08957,0.08839
MK,0.98759,0.98759
N,6850,6775
NLR,0.00918,0.00339
NLRI,Good,Good
NPV,0.991,0.99659
OC,0.99659,0.99664
OOC,0.99371,0.99382
OP,0.99085,0.99085
P,6775,6850
PLR,295.10059,108.90729
PLRI,Good,Good
POP,13625,13625
PPV,0.99659,0.991
PRE,0.49725,0.50275
Q,0.99994,0.99994
QI,Strong,Strong
RACC,0.24583,0.2542
RACCU,0.24583,0.2542
TN,6827,6713
TNR,0.99664,0.99085
TON,6889,6736
TOP,6736,6889
TP,6713,6827
TPR,0.99085,0.99664
Y,0.98749,0.98749
dInd,0.00975,0.00975
sInd,0.99311,0.99311
