Class,"Normal","Suspeito"
ACC,0.99281,0.99281
AGF,0.98592,0.99644
AGM,0.99265,0.98465
AM,-1,1
AUC,0.9875,0.9875
AUCI,Excellent,Excellent
AUPR,0.9875,0.995
BCD,0.0036,0.0036
BM,0.975,0.975
CEN,0.07979,0.03837
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.00719,0.00719
F0.5,0.9949,0.99198
F1,0.98734,0.99497
F2,0.9799,0.99798
FDR,0.0,0.01
FN,1,0
FNR,0.025,0.0
FOR,0.01,0.0
FP,0,1
FPR,0.0,0.025
G,0.98742,0.99499
GI,0.975,0.975
GM,0.98742,0.98742
IBA,0.95062,0.99937
ICSI,0.975,0.99
IS,1.79701,0.47508
J,0.975,0.99
LS,3.475,1.39
MCC,0.98247,0.98247
MCCI,Very Strong,Very Strong
MCEN,0.13305,0.06644
MK,0.99,0.99
N,99,40
NLR,0.025,0.0
NLRI,Good,Good
NPV,0.99,1.0
OC,1.0,1.0
OOC,0.98742,0.99499
OP,0.98015,0.98015
P,40,99
PLR,None,40.0
PLRI,None,Good
POP,139,139
PPV,1.0,0.99
PRE,0.28777,0.71223
Q,None,None
QI,None,None
RACC,0.08074,0.5124
RACCU,0.08075,0.51241
TN,99,39
TNR,1.0,0.975
TON,100,39
TOP,39,100
TP,39,99
TPR,0.975,1.0
Y,0.975,0.975
dInd,0.025,0.025
sInd,0.98232,0.98232
