Class,"Normal","Suspeito"
ACC,0.975,0.975
AGF,0.95997,0.98968
AGM,0.98457,0.97017
AM,-2,2
AUC,0.97826,0.97826
AUCI,Excellent,Excellent
AUPR,0.97826,0.97222
BCD,0.0125,0.0125
BM,0.95652,0.95652
CEN,0.12204,0.14655
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.025,0.025
F0.5,0.99099,0.95506
F1,0.97778,0.97143
F2,0.96491,0.98837
FDR,0.0,0.05556
FN,2,0
FNR,0.04348,0.0
FOR,0.05556,0.0
FP,0,2
FPR,0.0,0.04348
G,0.97802,0.97183
GI,0.95652,0.95652
GM,0.97802,0.97802
IBA,0.91493,0.99811
ICSI,0.95652,0.94444
IS,0.79837,1.152
J,0.95652,0.94444
LS,1.73913,2.22222
MCC,0.95046,0.95046
MCCI,Very Strong,Very Strong
MCEN,0.19668,0.23166
MK,0.94444,0.94444
N,34,46
NLR,0.04348,0.0
NLRI,Good,Good
NPV,0.94444,1.0
OC,1.0,1.0
OOC,0.97802,0.97183
OP,0.95278,0.95278
P,46,34
PLR,None,23.0
PLRI,None,Good
POP,80,80
PPV,1.0,0.94444
PRE,0.575,0.425
Q,None,None
QI,None,None
RACC,0.31625,0.19125
RACCU,0.31641,0.19141
TN,34,44
TNR,1.0,0.95652
TON,36,44
TOP,44,36
TP,44,34
TPR,0.95652,1.0
Y,0.95652,0.95652
dInd,0.04348,0.04348
sInd,0.96926,0.96926
