Class,"Normal","Suspeito"
ACC,0.99749,0.99749
AGF,0.99799,0.99699
AGM,0.99721,0.99777
AM,1,-1
AUC,0.99749,0.99749
AUCI,Excellent,Excellent
AUPR,0.99749,0.99749
BCD,0.00042,0.00042
BM,0.99498,0.99498
CEN,0.02402,0.02399
DOR,177310.0,177310.0
DP,2.89378,2.89378
DPI,Fair,Fair
ERR,0.00251,0.00251
F0.5,0.99698,0.99799
F1,0.99749,0.99749
F2,0.99799,0.99699
FDR,0.00335,0.00168
FN,1,2
FNR,0.00168,0.00334
FOR,0.00168,0.00335
FP,2,1
FPR,0.00334,0.00168
G,0.99749,0.99749
GI,0.99498,0.99498
GM,0.99749,0.99749
IBA,0.99664,0.99333
ICSI,0.99497,0.99498
IS,0.99758,0.99517
J,0.99498,0.99499
LS,1.99664,1.99331
MCC,0.99498,0.99498
MCCI,Very Strong,Very Strong
MCEN,0.04293,0.04287
MK,0.99497,0.99497
N,598,596
NLR,0.00168,0.00335
NLRI,Good,Good
NPV,0.99832,0.99665
OC,0.99832,0.99832
OOC,0.99749,0.99749
OP,0.99665,0.99665
P,596,598
PLR,298.49832,594.00669
PLRI,Good,Good
POP,1194,1194
PPV,0.99665,0.99832
PRE,0.49916,0.50084
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.24958,0.25042
RACCU,0.24958,0.25042
TN,596,595
TNR,0.99666,0.99832
TON,597,597
TOP,597,597
TP,595,596
TPR,0.99832,0.99666
Y,0.99498,0.99498
dInd,0.00374,0.00374
sInd,0.99735,0.99735
