Class,"Normal","Suspeito"
ACC,0.99206,0.99206
AGF,0.99432,0.97773
AGM,0.99307,0.99591
AM,1,-1
AUC,0.99524,0.99524
AUCI,Excellent,Excellent
AUPR,0.97727,0.99524
BCD,0.00397,0.00397
BM,0.99048,0.99048
CEN,0.12619,0.03688
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.00794,0.00794
F0.5,0.9633,0.99808
F1,0.97674,0.99522
F2,0.99057,0.99237
FDR,0.04545,0.0
FN,0,1
FNR,0.0,0.00952
FOR,0.0,0.04545
FP,1,0
FPR,0.00952,0.0
G,0.97701,0.99523
GI,0.99048,0.99048
GM,0.99523,0.99523
IBA,0.99991,0.98104
ICSI,0.95455,0.99048
IS,2.51785,0.26303
J,0.95455,0.99048
LS,5.72727,1.2
MCC,0.97234,0.97234
MCCI,Very Strong,Very Strong
MCEN,0.2027,0.06395
MK,0.95455,0.95455
N,105,21
NLR,0.0,0.00952
NLRI,Good,Good
NPV,1.0,0.95455
OC,1.0,1.0
OOC,0.97701,0.99523
OP,0.98728,0.98728
P,21,105
PLR,105.0,None
PLRI,Good,None
POP,126,126
PPV,0.95455,1.0
PRE,0.16667,0.83333
Q,None,None
QI,None,None
RACC,0.0291,0.68783
RACCU,0.02912,0.68785
TN,104,21
TNR,0.99048,1.0
TON,104,22
TOP,22,104
TP,21,104
TPR,1.0,0.99048
Y,0.99048,0.99048
dInd,0.00952,0.00952
sInd,0.99327,0.99327
