Class,"Normal","Suspeito"
ACC,0.62621,0.62621
AGF,0.67917,0.37355
AGM,0.34868,0.62769
AM,77,-77
AUC,0.59043,0.59043
AUCI,Poor,Poor
AUPR,0.7963,0.59043
BCD,0.18689,0.18689
BM,0.18085,0.18085
CEN,0.50314,0.36601
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.37379,0.37379
F0.5,0.64516,0.52469
F1,0.74419,0.30631
F2,0.87912,0.21628
FDR,0.40741,0.0
FN,0,77
FNR,0.0,0.81915
FOR,0.0,0.40741
FP,77,0
FPR,0.81915,0.0
G,0.7698,0.42527
GI,0.18085,0.18085
GM,0.42527,0.42527
IBA,0.329,0.03271
ICSI,0.59259,0.18085
IS,0.12426,1.13191
J,0.59259,0.18085
LS,1.08995,2.19149
MCC,0.32737,0.32737
MCCI,Weak,Weak
MCEN,0.52778,0.23575
MK,0.59259,0.59259
N,94,112
NLR,0.0,0.81915
NLRI,Good,Negligible
NPV,1.0,0.59259
OC,1.0,1.0
OOC,0.7698,0.42527
OP,-0.06748,-0.06748
P,112,94
PLR,1.22078,None
PLRI,Poor,None
POP,206,206
PPV,0.59259,1.0
PRE,0.54369,0.45631
Q,None,None
QI,None,None
RACC,0.49882,0.03766
RACCU,0.53375,0.07259
TN,17,112
TNR,0.18085,1.0
TON,17,189
TOP,189,17
TP,112,17
TPR,1.0,0.18085
Y,0.18085,0.18085
dInd,0.81915,0.81915
sInd,0.42077,0.42077
