DURATION,PROTOCOL,PACKETS,BYTES,FLAGS
0.0004880904860984346,0.0,0.00011722899952375717,7.196786265576962e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,2.096777710723902e-05,0.7000000000000001
0.0002844013279333337,0.0,0.00013920943693446165,0.00010312920524898947,0.7000000000000001
3.1781931714292855e-05,0.0,1.4653624940469647e-05,3.2258118626521566e-06,0.1
0.0,0.0,7.326812470234824e-06,1.290324745060863e-06,0.2
0.0,0.0,3.663406235117412e-05,1.7193577227935995e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,2.096777710723902e-05,0.7000000000000001
3.166074227019641e-05,0.0,1.4653624940469647e-05,3.2258118626521566e-06,0.1
0.0,0.0,3.663406235117412e-05,1.7225835346562517e-05,0.7000000000000001
0.0002843407332112855,0.0,0.00013188262446422682,0.00010106468565689208,0.7000000000000001
0.0002979442483111115,0.0,0.00010257537458328754,6.809688842058704e-05,0.7000000000000001
0.0,0.0,3.663406235117412e-05,1.4935508924079487e-05,0.7000000000000001
0.0,0.0,3.663406235117412e-05,1.7322609702442082e-05,0.7000000000000001
0.0,0.0,0.00019782393669634025,0.003716199782012538,1.0
0.0,0.0,0.00023445799904751438,0.0037352320720021857,1.0
0.00020687038107263263,0.0,5.128768729164377e-05,3.3451669015702865e-05,0.9
0.0,0.0,4.3960874821408944e-05,1.625809178776687e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,1.625809178776687e-05,0.7000000000000001
0.0,1.0,0.0,1.2548408145716892e-05,0.0
0.0,0.0,4.3960874821408944e-05,1.893551563376816e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,1.8387127617117295e-05,0.7000000000000001
0.0,0.0,0.00024178481151774917,0.003726457863735772,1.0
0.0,0.0,0.00024178481151774917,0.0037353933625953184,1.0
0.0,0.0,0.0,0.0,0.30000000000000004
0.0,0.0,3.663406235117412e-05,1.812906266810512e-05,0.7000000000000001
0.0,0.0,0.0,2.580649490121724e-07,0.1
0.0,0.0,3.663406235117412e-05,1.7225835346562517e-05,0.7000000000000001
0.000999752319073628,0.0,1.4653624940469647e-05,4.1290391841947604e-06,0.1
0.0003148501757625656,0.0,0.00013188262446422682,0.00010106468565689208,0.7000000000000001
0.00037096088837921995,0.0,0.00016118987434516612,0.00010880663412725726,0.7000000000000001
3.1781931714292855e-05,0.0,1.4653624940469647e-05,3.2258118626521566e-06,0.1
0.0,0.0,3.663406235117412e-05,1.7225835346562517e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,2.096777710723902e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,1.893551563376816e-05,0.7000000000000001
0.0005599558264476268,0.0,0.00016851668681540095,9.277434916987604e-05,0.7000000000000001
1.0,0.0,1.0,0.9999999999999999,0.6000000000000001
0.0034859234673511852,0.0,0.0009451588086602922,0.0015535832511719052,0.7000000000000001
0.0,0.0,3.663406235117412e-05,1.7225835346562517e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,1.6419382380899476e-05,0.7000000000000001
0.0,0.0,4.3960874821408944e-05,1.625809178776687e-05,0.7000000000000001
